# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is obh2
# # model type = fiducial
1.011637979766206877e-03 4.710674940272995627e+03 4.484874851405634217e+03 4.275983788404359075e+03 4.082310214985892799e+03 3.902366233708881282e+03 3.734842673545707839e+03 3.578584797763735878e+03 3.432571634572770108e+03 3.295897410755398141e+03 3.167754926319212700e+03
1.059560179277615295e-03 4.915288996496707114e+03 4.680122684325857335e+03 4.462524812439174639e+03 4.260743077029531378e+03 4.073236310252120802e+03 3.898647041897732834e+03 3.735775768226445052e+03 3.583564298304306249e+03 3.441071353380792516e+03 3.307458602285895267e+03
1.109752496412071696e-03 5.128085828334325015e+03 4.883229980509695451e+03 4.656619437136707347e+03 4.446440957620392510e+03 4.251098200760280633e+03 4.069185421083142046e+03 3.899457412351518542e+03 3.740816168653612294e+03 3.592285820152098950e+03 3.452996173758700934e+03
1.162322468679852228e-03 5.349313307795400760e+03 5.094440994206837786e+03 4.858507349184009399e+03 4.639638899288149332e+03 4.436182815474781819e+03 4.246683335864801847e+03 4.069849715260196263e+03 3.904543061279168796e+03 3.749751748161565502e+03 3.604573206820446558e+03
1.217382727739660777e-03 5.579218685933980851e+03 5.313999654900423593e+03 5.068429012144403714e+03 4.840572987584397197e+03 4.628721979010461837e+03 4.431368186548992526e+03 4.247175283986294744e+03 4.074963660173639710e+03 3.913683357583990073e+03 3.762398715652842839e+03
1.275051240713012809e-03 5.818046908682992580e+03 5.542148204482221445e+03 5.286623709726912239e+03 5.049479087126940613e+03 4.828947351910122961e+03 4.623467996233910526e+03 4.431658215100568668e+03 4.252297429815638679e+03 4.084295747797013519e+03 3.926683834205625317e+03
1.335451562929898311e-03 6.066039706560361083e+03 5.779125947644088228e+03 5.513329010498865500e+03 5.266592343334556972e+03 5.037090735337994374e+03 4.823211517261261179e+03 4.623524039574573180e+03 4.436765597156834701e+03 4.261806069537124131e+03 4.097642198280111188e+03
1.398713102647237494e-03 6.323431794291829647e+03 6.025168915989916968e+03 5.748779601822182485e+03 5.492145414167337549e+03 5.253382385057796455e+03 5.030826100437782770e+03 4.822997257590323898e+03 4.628588967115815649e+03 4.446431978110435921e+03 4.275487935197676961e+03
1.464971398307285183e-03 6.590452432473191948e+03 6.280507674784868868e+03 5.993205737998916447e+03 5.726366912809157839e+03 5.478050861129989244e+03 5.246538203821827665e+03 5.030302043179385691e+03 4.827988685593451919e+03 4.638391939172111961e+03 4.460435882814351316e+03
1.534368408930011527e-03 6.867322102731606719e+03 6.545366263053587318e+03 6.246832091466637394e+03 5.969481712777938810e+03 5.711319813018790228e+03 5.470570248517805339e+03 5.245658718984190273e+03 5.035183866149764071e+03 4.837902631549987746e+03 4.652700243086734190e+03
1.607052818261638658e-03 7.154252651748017342e+03 6.819957280605396591e+03 6.509874551769208665e+03 6.221708904647446616e+03 5.953408853978735351e+03 5.703141589820826994e+03 5.469285050217251410e+03 5.250391925366738178e+03 5.045179070569673968e+03 4.852494048392593868e+03
1.683180353330956123e-03 7.451441445711482629e+03 7.104484274768386967e+03 6.782541054332335079e+03 6.483260193718070695e+03 6.204529427021199808e+03 5.944464989841838360e+03 5.701394098735801890e+03 5.473825625986358318e+03 5.260433286060377213e+03 5.060028297428957558e+03
1.762914118095946624e-03 7.759072769815374158e+03 7.399138627813904350e+03 7.065027904639078770e+03 6.754334615140109236e+03 6.464885954035413306e+03 6.194747239949844698e+03 5.942194167190791632e+03 5.705692926832810372e+03 5.483873485966773842e+03 5.275510547569827395e+03
1.846424942895543049e-03 8.077313911657515746e+03 7.704099018087060358e+03 7.357520065798041287e+03 7.035121226534308335e+03 6.734671902754505027e+03 6.454184983903611283e+03 6.191885158635644075e+03 5.946195345164323044e+03 5.715702522478139144e+03 5.499144118179508951e+03
1.933891750455229942e-03 8.406314815299265319e+03 8.019523883038676104e+03 7.660185793131572609e+03 7.325796167612200406e+03 7.014070102434778164e+03 6.722964919468566222e+03 6.450657985721616569e+03 6.195526661715706723e+03 5.956115846807958405e+03 5.731125298332804050e+03
2.025501939230665762e-03 8.746202491932175690e+03 8.345553180024173344e+03 7.973177672411766252e+03 7.626522136102362310e+03 7.303248932626050191e+03 7.001262197857548017e+03 6.718692946833566566e+03 6.453871398769329062e+03 6.205301179487542868e+03 5.971644081070713582e+03
2.121451784910629440e-03 9.097079913035280697e+03 8.682305659809757344e+03 8.296626893154381833e+03 7.937441868089756099e+03 7.602361568309874201e+03 7.289239082804188911e+03 6.996157806918542519e+03 6.721402119506238705e+03 6.463435297162742245e+03 6.220880997486996421e+03
